season,episode,title,restaurant,air_date,latitude,longitude,rating,price,state
1,1,Classics,Mac & Ernie's Roadside Eatery,2007-04-23,29.6571703,-99.2764299,4.0,$$,Texas
1,1,Classics,Brint's Diner,2007-04-23,37.6922361,-97.3375448,3.5,$,Kansas
1,1,Classics,The Mad Greek Cafe,2007-04-23,35.0421963,-117.6675604,3.0,$$,California
1,2,That's Italian,Pizza Palace,2007-04-30,35.9603948,-83.9210261,4.0,$,Tennessee
1,2,That's Italian,Hullabaloo Diner,2007-04-30,30.5352024,-96.3016282,3.5,$$,Texas
1,2,That's Italian,Four Kegs Sports Pub,2007-04-30,36.1672559,-115.1485163,4.0,$$,Nevada
1,3,Blue Plate Special,Patrick's Roadhouse,2007-05-07,34.0250724,-118.4965129,3.5,$$,California
1,3,Blue Plate Special,Frosted Mug,2007-05-07,41.6689223,-87.7386619,,,Illinois
1,3,Blue Plate Special,The Penguin,2007-05-07,35.2270869,-80.8431268,,,North Carolina
1,4,Breakfast,Frank's Diner,2007-05-21,42.5846773,-87.8212263,4.0,$,Wisconsin
1,4,Breakfast,Gaffey Street Diner,2007-05-21,33.7358518,-118.2922934,,,California
1,4,Breakfast,The Coffee Cup,2007-05-21,35.9787638,-114.8337739,4.5,$$,Nevada
1,5,BBQ,Baby Blues BBQ,2007-05-28,33.995044,-118.4668875,4.0,$$,California
1,5,BBQ,Louie Mueller BBQ,2007-05-28,32.2793121,-99.8812612,4.0,$$,Texas
1,5,BBQ,Barbecue King Drive-In,2007-05-28,35.2270869,-80.8431268,,,North Carolina
1,6,Local Legends,Eveready Diner,2007-06-04,41.7847232,-73.9332461,3.5,$$,New York
1,6,Local Legends,Leo's BBQ,2007-06-04,35.4729886,-97.5170536,4.0,$$,Oklahoma
1,6,Local Legends,A1 Diner,2007-06-04,44.230441,-69.775543,4.0,$$,Maine
1,7,Burgers,Triple XXX Restaurant,2007-06-11,40.4258686,-86.9080655,4.0,$$,Indiana
1,7,Burgers,Hackney's,2007-06-11,42.0700662,-87.8114044,,,Illinois
